Hospital,Stage,Month,Year,MonthYear,Births,Deaths,Rate
Vienna General Hospital,Before handwashing,January,1841,Jan-41,254,37,14.6
Vienna General Hospital,Before handwashing,February,1841,Feb-41,239,18,7.5
Vienna General Hospital,Before handwashing,March,1841,Mar-41,277,12,4.3
Vienna General Hospital,Before handwashing,April,1841,Apr-41,255,4,1.6
Vienna General Hospital,Before handwashing,May,1841,May-41,255,2,0.8
Vienna General Hospital,Before handwashing,June,1841,Jun-41,200,10,5
Vienna General Hospital,Before handwashing,July,1841,Jul-41,190,16,8.4
Vienna General Hospital,Before handwashing,August,1841,Aug-41,222,3,1.4
Vienna General Hospital,Before handwashing,September,1841,Sep-41,213,4,1.9
Vienna General Hospital,Before handwashing,October,1841,Oct-41,236,26,11
Vienna General Hospital,Before handwashing,November,1841,Nov-41,235,53,22.6
Vienna General Hospital,Before handwashing,December,1841,Dec-41,,,
Vienna General Hospital,Before handwashing,January,1842,Jan-42,307,64,20.8
Vienna General Hospital,Before handwashing,February,1842,Feb-42,311,38,12.2
Vienna General Hospital,Before handwashing,March,1842,Mar-42,264,27,10.2
Vienna General Hospital,Before handwashing,April,1842,Apr-42,242,26,10.7
Vienna General Hospital,Before handwashing,May,1842,May-42,310,10,3.2
Vienna General Hospital,Before handwashing,June,1842,Jun-42,273,18,6.6
Vienna General Hospital,Before handwashing,July,1842,Jul-42,231,48,20.8
Vienna General Hospital,Before handwashing,August,1842,Aug-42,216,55,25.5
Vienna General Hospital,Before handwashing,September,1842,Sep-42,223,41,18.4
Vienna General Hospital,Before handwashing,October,1842,Oct-42,242,71,29.3
Vienna General Hospital,Before handwashing,November,1842,Nov-42,209,48,23
Vienna General Hospital,Before handwashing,December,1842,Dec-42,239,75,31.4
Vienna General Hospital,Before handwashing,January,1843,Jan-43,272,52,19.1
Vienna General Hospital,Before handwashing,February,1843,Feb-43,263,42,16
Vienna General Hospital,Before handwashing,Mar,1843,Mar-43,266,33,12.4
Vienna General Hospital,Before handwashing,April,1843,Apr-43,285,34,11.9
Vienna General Hospital,Before handwashing,May,1843,May-43,246,15,6.1
Vienna General Hospital,Before handwashing,June,1843,Jun-43,196,8,4.1
Vienna General Hospital,Before handwashing,July,1843,Jul-43,191,1,0.5
Vienna General Hospital,Before handwashing,August,1843,Aug-43,193,3,1.6
Vienna General Hospital,Before handwashing,September,1843,Sep-43,221,5,2.3
Vienna General Hospital,Before handwashing,October,1843,Oct-43,250,44,17.6
Vienna General Hospital,Before handwashing,November,1843,Nov-43,252,18,7.1
Vienna General Hospital,Before handwashing,December,1843,Dec-43,236,19,8.1
Vienna General Hospital,Before handwashing,January,1844,Jan-44,244,37,15.2
Vienna General Hospital,Before handwashing,February,1844,Feb-44,257,29,11.3
Vienna General Hospital,Before handwashing,March,1844,Mar-44,276,47,17
Vienna General Hospital,Before handwashing,April,1844,Apr-44,208,36,17.3
Vienna General Hospital,Before handwashing,May,1844,May-44,240,14,5.8
Vienna General Hospital,Before handwashing,June,1844,Jun-44,224,6,2.7
Vienna General Hospital,Before handwashing,July,1844,Jul-44,206,9,4.4
Vienna General Hospital,Before handwashing,August,1844,Aug-44,269,17,6.3
Vienna General Hospital,Before handwashing,September,1844,Sep-44,245,3,1.2
Vienna General Hospital,Before handwashing,October,1844,Oct-44,248,8,3.2
Vienna General Hospital,Before handwashing,November,1844,Nov-44,245,27,11
Vienna General Hospital,Before handwashing,December,1844,Dec-44,256,27,10.5
Vienna General Hospital,Before handwashing,January,1845,Jan-45,303,23,7.6
Vienna General Hospital,Before handwashing,February,1845,Feb-45,274,13,4.7
Vienna General Hospital,Before handwashing,March,1845,Mar-45,292,13,4.5
Vienna General Hospital,Before handwashing,April,1845,Apr-45,260,11,4.2
Vienna General Hospital,Before handwashing,May,1845,May-45,296,13,4.4
Vienna General Hospital,Before handwashing,June,1845,Jun-45,280,20,7.1
Vienna General Hospital,Before handwashing,July,1845,Jul-45,245,15,6.1
Vienna General Hospital,Before handwashing,August,1845,Aug-45,251,9,3.6
Vienna General Hospital,Before handwashing,September,1845,Sep-45,237,25,10.5
Vienna General Hospital,Before handwashing,October,1845,Oct-45,283,42,14.8
Vienna General Hospital,Before handwashing,November,1845,Nov-45,265,29,10.9
Vienna General Hospital,Before handwashing,December,1845,Dec-45,267,28,10.5
Vienna General Hospital,Before handwashing,January,1846,Jan-46,336,45,13.4
Vienna General Hospital,Before handwashing,February,1846,Feb-46,293,53,18.1
Vienna General Hospital,Before handwashing,March,1846,Mar-46,311,48,15.4
Vienna General Hospital,Before handwashing,April,1846,Apr-46,253,48,19
Vienna General Hospital,Before handwashing,May,1846,May-46,305,41,13.4
Vienna General Hospital,Before handwashing,June,1846,Jun-46,266,27,10.2
Vienna General Hospital,Before handwashing,July,1846,Jul-46,252,33,13.1
Vienna General Hospital,Before handwashing,August,1846,Aug-46,216,39,18.1
Vienna General Hospital,Before handwashing,September,1846,Sep-46,271,39,14.4
Vienna General Hospital,Before handwashing,October,1846,Oct-46,254,38,15
Vienna General Hospital,Before handwashing,November,1846,Nov-46,297,32,10.8
Vienna General Hospital,Before handwashing,December,1846,Dec-46,298,16,5.4
Vienna General Hospital,Before handwashing,January,1847,Jan-47,311,10,3.2
Vienna General Hospital,Before handwashing,February,1847,Feb-47,312,6,1.9
Vienna General Hospital,Before handwashing,March,1847,Mar-47,305,11,3.6
Vienna General Hospital,Before handwashing,April,1847,Apr-47,312,57,18.3
Vienna General Hospital,Before handwashing,May,1847,May-47,294,36,12.2
Vienna General Hospital,After handwashing,June,1847,Jun-47,268,6,2.2
Vienna General Hospital,After handwashing,July,1847,Jul-47,250,3,1.2
Vienna General Hospital,After handwashing,August,1847,Aug-47,264,5,1.9
Vienna General Hospital,After handwashing,September,1847,Sep-47,262,12,4.6
Vienna General Hospital,After handwashing,October,1847,Oct-47,278,11,4
Vienna General Hospital,After handwashing,November,1847,Nov-47,246,11,4.5
Vienna General Hospital,After handwashing,December,1847,Dec-47,273,8,2.9
Vienna General Hospital,After handwashing,January,1848,Jan-48,283,10,3.5
Vienna General Hospital,After handwashing,February,1848,Feb-48,291,2,0.7
Vienna General Hospital,After handwashing,March,1848,Mar-48,276,0,0
Vienna General Hospital,After handwashing,April,1848,Apr-48,305,2,0.7
Vienna General Hospital,After handwashing,May,1848,May-48,313,3,1
Vienna General Hospital,After handwashing,June,1848,Jun-48,264,3,1.1
Vienna General Hospital,After handwashing,July,1848,Jul-48,269,1,0.4
Vienna General Hospital,After handwashing,August,1848,Aug-48,261,0,0
Vienna General Hospital,After handwashing,September,1848,Sep-48,312,3,1
Vienna General Hospital,After handwashing,October,1848,Oct-48,299,7,2.3
Vienna General Hospital,After handwashing,November,1848,Nov-48,310,9,2.9
Vienna General Hospital,After handwashing,December,1848,Dec-48,373,5,1.3
Vienna General Hospital,After handwashing,January,1849,Jan-49,403,9,2.2
Vienna General Hospital,After handwashing,February,1849,Feb-49,389,12,3.1
Vienna General Hospital,After handwashing,March,1849,Mar-49,406,20,4.9
